cole_area_ubicacion_urbano;cole_bilingue_si;cole_calendario;cole_caracter;cole_cod_depto_ubicacion;cole_genero;cole_jornada;estu_cod_depto_presentacion;estu_edad;estu_genero_m;estu_privado_libertad_si;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil_si;fami_tienecomputador_si;fami_tieneinternet_si;fami_tienelavadora_si;target
1;1;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;18.35;1;0;tres;técnica o tecnológica completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;0
1;0;0.028416004580917614;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.2903156538544127;0.06666666666666668;20.58;0;0;cinco;educación profesional completa;educación profesional completa;estrato 3;5 a 6;1;1;1;1;0
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.62;0;0;tres;educación profesional completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.33;0;0;dos;educación profesional completa;secundaria (bachillerato) incompleta;estrato 5;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.0;0.8930642044234486;0.5832080738672966;0.0;20.31;1;0;tres;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;1
0;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;21.3;0;0;tres;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.62;1;0;uno;secundaria (bachillerato) completa;educación profesional incompleta;estrato 1;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;19.04;1;0;tres;técnica o tecnológica completa;secundaria (bachillerato) completa;estrato 3;5 a 6;1;1;1;1;0
0;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;21.24;1;0;cuatro;educación profesional completa;educación profesional completa;estrato 6;5 a 6;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;19.47;1;0;tres;educación profesional completa;educación profesional completa;estrato 5;3 a 4;1;1;1;1;1
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.22222222222222224;20.38;1;0;tres;secundaria (bachillerato) completa;educación profesional completa;estrato 3;3 a 4;1;1;1;1;0
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.03;1;0;cuatro;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.45;1;0;tres;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.5222222222222223;0.8930642044234486;0.04988905590151027;0.5222222222222223;19.79;1;0;cuatro;primaria incompleta;secundaria (bachillerato) incompleta;estrato 1;3 a 4;0;0;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.03049173287524157;0.7888888888888889;19.92;0;0;dos;no sabe;educación profesional completa;estrato 4;3 a 4;1;1;1;1;1
